# Column 1 : SedFile 
# Column 2 : Mass (Msun) 
# Column 3 : HydrogenDensity (cm-3) 
# Column 4 : Geometry ['type',ring radius,ring width,ring height](pc) 
# Column 5 : Helium fraction (1) 
# Column 6 : Metallicity (1) 
# Column 7 : Dust-to-gas ratio (1) 
# Column 8 : PAH-to-dust ratio (1) 
MMA_0.0kpc.sed 55247469.51081801 10.481279820536162 ['ring',0.0,500.0,200.0] 0.24 0.022959113550046074 0.023929738173259156 0.07 
MMA_1.0kpc.sed 343672763.330709 8.14266771219144 ['ring',1000.0,500.0,200.0] 0.24 0.023621262056423148 0.024641850467467738 0.07 
MMA_2.0kpc.sed 521183675.2517168 6.169957912655096 ['ring',2000.0,500.0,200.0] 0.24 0.024130105009932203 0.02517769919335291 0.07 
MMA_3.0kpc.sed 609786020.2229437 4.811807250979605 ['ring',3000.0,500.0,200.0] 0.24 0.024247652976012928 0.025281912932691025 0.07 
MMA_4.0kpc.sed 621860631.4169464 3.6798501280331326 ['ring',4000.0,500.0,200.0] 0.24 0.024340746949676337 0.02534535993395829 0.07 
MMA_5.0kpc.sed 580307163.7241472 2.7466884995645557 ['ring',5000.0,500.0,200.0] 0.24 0.02446875778241489 0.025426723524018032 0.07 
MMA_6.0kpc.sed 530070004.02540535 2.0906865249341564 ['ring',6000.0,500.0,200.0] 0.24 0.024493382468550588 0.025367999533713 0.07 
MMA_7.0kpc.sed 496365936.86510724 1.6783647829132502 ['ring',7000.0,500.0,200.0] 0.24 0.024365530661726566 0.02510068374250819 0.07 
MMA_8.0kpc.sed 509880704.1242675 1.509710419967618 ['ring',8000.0,500.0,200.0] 0.24 0.023801877632263914 0.024317846417005736 0.07 
MMA_9.0kpc.sed 623244243.3986384 1.6445546835088611 ['ring',9000.0,500.0,200.0] 0.24 0.021905115607205577 0.02212579721713449 0.07 
MMA_10.0kpc.sed 931646618.846296 2.227568416780397 ['ring',10000.0,500.0,200.0] 0.24 0.016879088880732467 0.01655356297139538 0.07 
MMA_11.0kpc.sed 1612680557.5347412 3.5427046067611023 ['ring',11000.0,500.0,200.0] 0.24 0.008967173273656969 0.005719372152616443 0.07 
MMA_12.0kpc.sed 1997630942.9075553 4.056625883299445 ['ring',12000.0,500.0,200.0] 0.24 0.00262565541943437 2.3069707500286186e-05 0.07 
MMA_13.0kpc.sed 1713629292.6593227 3.2208332985911383 ['ring',13000.0,500.0,200.0] 0.24 0.0005934034647479235 3.549748521286588e-06 0.07 
MMA_14.0kpc.sed 1379931145.2226198 2.409547308316397 ['ring',14000.0,500.0,200.0] 0.24 0.0002237404720556827 1.035084769601062e-06 0.07 
MMA_15.0kpc.sed 1099062072.1486452 1.7914742789935145 ['ring',15000.0,500.0,200.0] 0.24 9.507691243234452e-05 3.86699749688217e-07 0.07 
MMA_16.0kpc.sed 863149765.304844 1.3190886471169372 ['ring',16000.0,500.0,200.0] 0.24 4.5744528268982447e-05 1.7512788902490354e-07 0.07 
MMA_17.0kpc.sed 683015248.4130533 0.9824302277141367 ['ring',17000.0,500.0,200.0] 0.24 2.399348847597803e-05 9.291175434346356e-08 0.07 
MMA_18.0kpc.sed 530967119.947456 0.7213121719470528 ['ring',18000.0,500.0,200.0] 0.24 1.0170395511000052e-05 3.8836541072096376e-08 0.07 
MMA_19.0kpc.sed 417458967.73508185 0.537269159124613 ['ring',19000.0,500.0,200.0] 0.24 3.905787847612432e-06 6.0352663488448295e-09 0.07 
MMA_20.0kpc.sed 326599324.72584444 0.399317677611992 ['ring',20000.0,500.0,200.0] 0.24 1.2243148327427986e-06 1.8120164121220279e-09 0.07 
